name,grafana_url,provider,cost_monitoring_enabled,cost_tags_active
2i2c-jetstream2,[grafana.staging.js.2i2c.cloud](http://grafana.staging.js.2i2c.cloud),azure,False,False
berkeley-geojupyter,[grafana.berkeley-geojupyter.2i2c.cloud](http://grafana.berkeley-geojupyter.2i2c.cloud),aws,True,True
disasters,[grafana.disasters.2i2c.cloud](http://grafana.disasters.2i2c.cloud),aws,True,True
victor,[grafana.victor.2i2c.cloud](http://grafana.victor.2i2c.cloud),aws,True,True
aimatx-2i2c-hub,[grafana.aimatx.2i2c.cloud](http://grafana.aimatx.2i2c.cloud),aws,True,True
nasa-ghg-hub,[grafana.nasa-ghg.2i2c.cloud](http://grafana.nasa-ghg.2i2c.cloud),aws,True,True
2i2c-aws-us,[grafana.aws.2i2c.cloud](http://grafana.aws.2i2c.cloud),aws,True,True
catalystproject-africa,[grafana.af.catalystproject.2i2c.cloud](http://grafana.af.catalystproject.2i2c.cloud),aws,True,True
jupyter-health,[grafana.jupyter-health.2i2c.cloud](http://grafana.jupyter-health.2i2c.cloud),aws,True,True
nmfs-openscapes,[grafana.nmfs-openscapes.2i2c.cloud](http://grafana.nmfs-openscapes.2i2c.cloud),aws,True,True
projectpythia,[grafana.projectpythia.2i2c.cloud](http://grafana.projectpythia.2i2c.cloud),aws,True,True
catalystproject-latam,[grafana.latam.catalystproject.2i2c.cloud](http://grafana.latam.catalystproject.2i2c.cloud),gcp,False,False
strudel,[grafana.strudel.2i2c.cloud](http://grafana.strudel.2i2c.cloud),aws,True,True
awi-ciroh,[grafana.ciroh.awi.2i2c.cloud](http://grafana.ciroh.awi.2i2c.cloud),gcp,False,False
nasa-veda,[grafana.nasa-veda.2i2c.cloud](http://grafana.nasa-veda.2i2c.cloud),aws,True,False
2i2c,[grafana.pilot.2i2c.cloud](http://grafana.pilot.2i2c.cloud),gcp,False,False
smithsonian,[grafana.smithsonian.2i2c.cloud](http://grafana.smithsonian.2i2c.cloud),aws,True,True
utoronto,[grafana.utoronto.2i2c.cloud](http://grafana.utoronto.2i2c.cloud),azure,False,False
dubois,[grafana.dubois.2i2c.cloud](http://grafana.dubois.2i2c.cloud),gcp,False,False
ucmerced,[grafana.ucmerced.2i2c.cloud](http://grafana.ucmerced.2i2c.cloud),aws,True,True
leap,[grafana.leap.2i2c.cloud](http://grafana.leap.2i2c.cloud),gcp,False,False
nasa-cryo,[grafana.cryointhecloud.2i2c.cloud](http://grafana.cryointhecloud.2i2c.cloud),aws,True,True
opensci,[grafana.opensci.2i2c.cloud](http://grafana.opensci.2i2c.cloud),aws,True,True
maap,[grafana.maap.2i2c.cloud](http://grafana.maap.2i2c.cloud),aws,True,True
reflective,[grafana.reflective.2i2c.cloud](http://grafana.reflective.2i2c.cloud),aws,True,True
cloudbank,[grafana.cloudbank.2i2c.cloud](http://grafana.cloudbank.2i2c.cloud),gcp,False,False
bnext-bio,[grafana.bnext-bio.2i2c.cloud](http://grafana.bnext-bio.2i2c.cloud),aws,True,True
hhmi,[grafana.hhmi.2i2c.cloud](http://grafana.hhmi.2i2c.cloud),gcp,False,False
ubc-eoas,[grafana.ubc-eoas.2i2c.cloud](http://grafana.ubc-eoas.2i2c.cloud),aws,True,True
2i2c-uk,[grafana.uk.2i2c.cloud](http://grafana.uk.2i2c.cloud),gcp,False,False
earthscope,[grafana.earthscope.2i2c.cloud](http://grafana.earthscope.2i2c.cloud),aws,True,False
projectpythia-binder,[grafana.binder-pythia.jetstream2.2i2c.cloud](http://grafana.binder-pythia.jetstream2.2i2c.cloud),azure,False,False
temple,[grafana.temple.2i2c.cloud](http://grafana.temple.2i2c.cloud),aws,True,True
openscapeshub,[grafana.openscapes.2i2c.cloud](http://grafana.openscapes.2i2c.cloud),aws,True,True
